Institute,Academic Program Name,Quota,Seat Type,Gender,Round 1 -Closing Rank,Round 2 - Closing Rank,Round 3 -Closing Rank,Round 4 -Closing Rank,Round 5 -Closing Rank
Indian Institute of Technology Madras,"Biological Engineering (4 Years, Bachelor of Technology)",AI,SC,Female-only (including Supernumerary),2365,2365,2365,2365,2365
Indian Institute of Technology Madras,"Biological Engineering (4 Years, Bachelor of Technology)",AI,ST,Gender-Neutral,1010,1010,1010,1010,1010
Indian Institute of Technology Madras,"Biological Science (4 Years, Bachelor of Science)",AI,OPEN,Gender-Neutral,10990,11166,11166,11166,12204
Indian Institute of Technology Madras,"Biological Science (4 Years, Bachelor of Science)",AI,OPEN,Female-only (including Supernumerary),15819,18146,18146,18311,18453
Indian Institute of Technology Madras,"Biological Science (4 Years, Bachelor of Science)",AI,OPEN (PwD),Gender-Neutral,482P,482P,482P,482P,531P
Indian Institute of Technology Madras,"Biological Science (4 Years, Bachelor of Science)",AI,EWS,Gender-Neutral,1921,1921,1921,1921,2010
Indian Institute of Technology Madras,"Biological Science (4 Years, Bachelor of Science)",AI,EWS,Female-only (including Supernumerary),3219,3219,3219,3219,3219
Indian Institute of Technology Madras,"Biological Science (4 Years, Bachelor of Science)",AI,OBC-NCL,Gender-Neutral,4461,4626,4626,4626,4969
Indian Institute of Technology Madras,"Biological Science (4 Years, Bachelor of Science)",AI,OBC-NCL,Female-only (including Supernumerary),7410,7410,7410,7410,7410
Indian Institute of Technology Madras,"Biological Science (4 Years, Bachelor of Science)",AI,SC,Gender-Neutral,2602,2602,2602,2602,2665
Indian Institute of Technology Madras,"Biological Science (4 Years, Bachelor of Science)",AI,SC,Female-only (including Supernumerary),3309,3309,3309,3309,3309
Indian Institute of Technology Madras,"Biological Science (4 Years, Bachelor of Science)",AI,ST,Gender-Neutral,1387,1392,1392,1392,1392
Indian Institute of Technology Madras,"BS in Mathematics (4 Years, Bachelor of Science)",AI,OPEN,Gender-Neutral,1470,1695,1695,1695,1804
Indian Institute of Technology Madras,"BS in Mathematics (4 Years, Bachelor of Science)",AI,OPEN,Female-only (including Supernumerary),4913,4913,4913,5348,5348
Indian Institute of Technology Madras,"BS in Mathematics (4 Years, Bachelor of Science)",AI,OPEN (PwD),Gender-Neutral,63P,63P,63P,63P,63P
Indian Institute of Technology Madras,"BS in Mathematics (4 Years, Bachelor of Science)",AI,EWS,Gender-Neutral,360,360,360,360,360
Indian Institute of Technology Madras,"BS in Mathematics (4 Years, Bachelor of Science)",AI,OBC-NCL,Gender-Neutral,1114,1211,1211,1211,1211
Indian Institute of Technology Madras,"BS in Mathematics (4 Years, Bachelor of Science)",AI,OBC-NCL,Female-only (including Supernumerary),4017,4017,4017,4017,4630
Indian Institute of Technology Madras,"BS in Mathematics (4 Years, Bachelor of Science)",AI,SC,Gender-Neutral,1008,1023,1023,1023,1397
Indian Institute of Technology Madras,"BS in Mathematics (4 Years, Bachelor of Science)",AI,SC,Female-only (including Supernumerary),2423,2423,2423,2423,2423
Indian Institute of Technology Madras,"BS in Mathematics (4 Years, Bachelor of Science)",AI,ST,Gender-Neutral,954,954,954,954,954
Indian Institute of Technology Madras,"Chemical Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Gender-Neutral,4131,4131,4131,4148,4162
Indian Institute of Technology Madras,"Chemical Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Female-only (including Supernumerary),8235,8235,8235,8235,8479
Indian Institute of Technology Madras,"Chemical Engineering (4 Years, Bachelor of Technology)",AI,OPEN (PwD),Gender-Neutral,98,98,98,98,98
Indian Institute of Technology Madras,"Chemical Engineering (4 Years, Bachelor of Technology)",AI,OPEN (PwD),Female-only (including Supernumerary),312,157P,157P,157P,157P
Indian Institute of Technology Madras,"Chemical Engineering (4 Years, Bachelor of Technology)",AI,EWS,Gender-Neutral,757,828,828,828,829
Indian Institute of Technology Madras,"Chemical Engineering (4 Years, Bachelor of Technology)",AI,EWS,Female-only (including Supernumerary),1749,1749,1749,1749,1749
Indian Institute of Technology Madras,"Chemical Engineering (4 Years, Bachelor of Technology)",AI,EWS (PwD),Gender-Neutral,29P,29P,29P,29P,29P
Indian Institute of Technology Madras,"Chemical Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL,Gender-Neutral,1910,1944,1944,1944,1944
Indian Institute of Technology Madras,"Chemical Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL,Female-only (including Supernumerary),4071,4304,4304,4304,4304
Indian Institute of Technology Madras,"Chemical Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL (PwD),Gender-Neutral,17P,17P,17P,17P,17P
Indian Institute of Technology Madras,"Chemical Engineering (4 Years, Bachelor of Technology)",AI,SC,Gender-Neutral,1269,1269,1269,1269,1269
Indian Institute of Technology Madras,"Chemical Engineering (4 Years, Bachelor of Technology)",AI,SC,Female-only (including Supernumerary),1816,1816,1816,1816,1816
Indian Institute of Technology Madras,"Chemical Engineering (4 Years, Bachelor of Technology)",AI,SC (PwD),Gender-Neutral,24P,24P,24P,24P,24P
Indian Institute of Technology Madras,"Chemical Engineering (4 Years, Bachelor of Technology)",AI,ST,Gender-Neutral,641,688,688,688,688
Indian Institute of Technology Madras,"Chemical Engineering (4 Years, Bachelor of Technology)",AI,ST,Female-only (including Supernumerary),928,928,928,928,928
Indian Institute of Technology Madras,"Civil Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Gender-Neutral,5970,5982,5982,5982,6225
Indian Institute of Technology Madras,"Civil Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Female-only (including Supernumerary),11704,11704,11704,11704,13648
Indian Institute of Technology Madras,"Civil Engineering (4 Years, Bachelor of Technology)",AI,OPEN (PwD),Gender-Neutral,125P,125P,125P,125P,125P
Indian Institute of Technology Madras,"Civil Engineering (4 Years, Bachelor of Technology)",AI,OPEN (PwD),Female-only (including Supernumerary),124P,124P,124P,124P,124P
Indian Institute of Technology Madras,"Civil Engineering (4 Years, Bachelor of Technology)",AI,EWS,Gender-Neutral,1014,1014,1014,1014,1015
Indian Institute of Technology Madras,"Civil Engineering (4 Years, Bachelor of Technology)",AI,EWS,Female-only (including Supernumerary),2283,2283,2283,2283,2283
Indian Institute of Technology Madras,"Civil Engineering (4 Years, Bachelor of Technology)",AI,EWS (PwD),Gender-Neutral,55P,55P,55P,55P,55P
Indian Institute of Technology Madras,"Civil Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL,Gender-Neutral,2537,2538,2538,2538,2644
Indian Institute of Technology Madras,"Civil Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL,Female-only (including Supernumerary),5093,5096,5096,5096,5096
Indian Institute of Technology Madras,"Civil Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL (PwD),Gender-Neutral,57P,57P,57P,57P,158P
Indian Institute of Technology Madras,"Civil Engineering (4 Years, Bachelor of Technology)",AI,SC,Gender-Neutral,1351,1351,1351,1351,1351
Indian Institute of Technology Madras,"Civil Engineering (4 Years, Bachelor of Technology)",AI,SC,Female-only (including Supernumerary),1723,1808,1808,1808,1808
Indian Institute of Technology Madras,"Civil Engineering (4 Years, Bachelor of Technology)",AI,SC (PwD),Gender-Neutral,28P,28P,28P,28P,28P
Indian Institute of Technology Madras,"Civil Engineering (4 Years, Bachelor of Technology)",AI,ST,Gender-Neutral,559,559,559,559,559
Indian Institute of Technology Madras,"Civil Engineering (4 Years, Bachelor of Technology)",AI,ST,Female-only (including Supernumerary),717,717,717,717,717
Indian Institute of Technology Madras,"Computational Engineering and Mechanics (4 Years, Bachelor of Technology)",AI,OPEN,Gender-Neutral,1313,1313,1313,1313,1314
Indian Institute of Technology Madras,"Computational Engineering and Mechanics (4 Years, Bachelor of Technology)",AI,OPEN,Female-only (including Supernumerary),4625,4625,4625,4625,4625
Indian Institute of Technology Madras,"Computational Engineering and Mechanics (4 Years, Bachelor of Technology)",AI,OPEN (PwD),Gender-Neutral,122,122,122,122,122
Indian Institute of Technology Madras,"Computational Engineering and Mechanics (4 Years, Bachelor of Technology)",AI,EWS,Gender-Neutral,319,319,319,319,319
Indian Institute of Technology Madras,"Computational Engineering and Mechanics (4 Years, Bachelor of Technology)",AI,EWS,Female-only (including Supernumerary),1024,1024,1024,1024,1024
Indian Institute of Technology Madras,"Computational Engineering and Mechanics (4 Years, Bachelor of Technology)",AI,OBC-NCL,Gender-Neutral,645,645,645,645,645
Indian Institute of Technology Madras,"Computational Engineering and Mechanics (4 Years, Bachelor of Technology)",AI,OBC-NCL,Female-only (including Supernumerary),1660,1660,1660,1660,1660
Indian Institute of Technology Madras,"Computational Engineering and Mechanics (4 Years, Bachelor of Technology)",AI,OBC-NCL (PwD),Gender-Neutral,76,76,76,76,76
Indian Institute of Technology Madras,"Computational Engineering and Mechanics (4 Years, Bachelor of Technology)",AI,SC,Gender-Neutral,552,552,552,552,552
Indian Institute of Technology Madras,"Computational Engineering and Mechanics (4 Years, Bachelor of Technology)",AI,SC,Female-only (including Supernumerary),1188,1188,1188,1188,1188
Indian Institute of Technology Madras,"Computational Engineering and Mechanics (4 Years, Bachelor of Technology)",AI,ST,Gender-Neutral,354,354,354,354,354
Indian Institute of Technology Madras,"Computational Engineering and Mechanics (4 Years, Bachelor of Technology)",AI,ST,Female-only (including Supernumerary),439,439,439,439,439
Indian Institute of Technology Madras,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Gender-Neutral,149,149,149,150,151
Indian Institute of Technology Madras,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Female-only (including Supernumerary),539,539,539,539,539
Indian Institute of Technology Madras,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,OPEN (PwD),Gender-Neutral,2,2,2,2,2
Indian Institute of Technology Madras,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,EWS,Gender-Neutral,31,31,31,31,31
Indian Institute of Technology Madras,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,EWS,Female-only (including Supernumerary),100,100,100,100,100
Indian Institute of Technology Madras,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,EWS (PwD),Gender-Neutral,7,7,7,7,7
Indian Institute of Technology Madras,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL,Gender-Neutral,94,96,96,96,96
Indian Institute of Technology Madras,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL,Female-only (including Supernumerary),287,287,287,287,287
Indian Institute of Technology Madras,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL (PwD),Gender-Neutral,8,8,8,8,8
Indian Institute of Technology Madras,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,SC,Gender-Neutral,55,59,59,59,61
Indian Institute of Technology Madras,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,SC,Female-only (including Supernumerary),291,291,291,291,291
Indian Institute of Technology Madras,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,SC (PwD),Gender-Neutral,2,2,2,2,2
Indian Institute of Technology Madras,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,ST,Gender-Neutral,27,27,27,27,27
Indian Institute of Technology Madras,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,ST,Female-only (including Supernumerary),49,49,49,49,49
Indian Institute of Technology Madras,"Electrical Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Gender-Neutral,742,742,742,742,749
Indian Institute of Technology Madras,"Electrical Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Female-only (including Supernumerary),2457,2457,2457,2457,2457
Indian Institute of Technology Madras,"Electrical Engineering (4 Years, Bachelor of Technology)",AI,OPEN (PwD),Gender-Neutral,29,29,29,29,29
Indian Institute of Technology Madras,"Electrical Engineering (4 Years, Bachelor of Technology)",AI,OPEN (PwD),Female-only (including Supernumerary),141,141,141,141,141
Indian Institute of Technology Madras,"Electrical Engineering (4 Years, Bachelor of Technology)",AI,EWS,Gender-Neutral,162,164,164,164,164
Indian Institute of Technology Madras,"Electrical Engineering (4 Years, Bachelor of Technology)",AI,EWS,Female-only (including Supernumerary),681,681,681,681,681
Indian Institute of Technology Madras,"Electrical Engineering (4 Years, Bachelor of Technology)",AI,EWS (PwD),Gender-Neutral,18,18,18,18,18
Indian Institute of Technology Madras,"Electrical Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL,Gender-Neutral,377,377,377,377,377
Indian Institute of Technology Madras,"Electrical Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL,Female-only (including Supernumerary),960,960,960,960,960
Indian Institute of Technology Madras,"Electrical Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL (PwD),Gender-Neutral,21,21,21,21,21
Indian Institute of Technology Madras,"Electrical Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL (PwD),Female-only (including Supernumerary),74,74,74,74,74
Indian Institute of Technology Madras,"Electrical Engineering (4 Years, Bachelor of Technology)",AI,SC,Gender-Neutral,238,259,259,259,259
Indian Institute of Technology Madras,"Electrical Engineering (4 Years, Bachelor of Technology)",AI,SC,Female-only (including Supernumerary),567,567,567,567,567
