Sr. No.,Institute Code,Institute Name,Status,Total Intake
94,3199,"Shri Vile Parle Kelvani Mandal's Dwarkadas J. Sanghvi College of Engineering, Vile Parle,Mumbai","Un-Aided, Autonomous, Linguistic Minority - Gujarathi",1140
95,3200,"Hope Foundation and research center's Finolex Academy of Management and Technology, Ratnagiri",Un-Aided,420
96,3201,"Rizvi Education Society's Rizvi College of Engineering, Bandra,Mumbai","Un-Aided, Religious Minority - Muslim",360
97,3202,Rajendra Mane College of Engineering & Technology Ambav Deorukh,Un-Aided,180
98,3203,"Atharva College of Engineering,Malad(West),Mumbai",Un-Aided,480
99,3204,"St. Francis Institute of Technology,Borivali, Mumbai","Un-Aided, Autonomous, Religious Minority - Christian",660
100,3206,"S.S.P.M.'s College of Engineering, Kankavli",Un-Aided,360
101,3207,"Mahatma Education Society's Pillai College of Engineering, New Panvel","Un-Aided, Autonomous, Linguistic Minority - Malyalam",660
102,3208,"Don Bosco Institute of Technology, Mumbai","Un-Aided, Autonomous, Religious Minority - Roman Catholics",360
103,3209,K J Somaiya Institute of Technology,"Un-Aided, Autonomous, Linguistic Minority - Gujarathi",480
104,3210,"Excelsior Education Society's K.C. College of Engineering and Management Studies and Research, Kopri, Thane (E)","Un-Aided, Linguistic Minority - Punjabi",420
105,3211,"S.I.E.S. Graduate School of Technology, Nerul, Navi Mumbai","Un-Aided, Autonomous, Linguistic Minority - Tamil",660
106,3212,"Watumull Institute of Engineering & Technology, Ulhasnagar","Un-Aided, Linguistic Minority - Sindhi",210
107,3214,"Xavier Institute Of Engineering C/O Xavier Technical Institute,Mahim,Mumbai","Un-Aided, Autonomous, Religious Minority - Christian",300
108,3215,"Bhartiya Vidya Bhavan's Sardar Patel Institute of Technology , Andheri, Mumbai","Un-Aided, Autonomous",480
109,3216,"Gharda Foundation's Gharda Institute of Technology,Khed, Ratnagiri",Un-Aided,330
110,3217,"Vighnaharata Trust's Shivajirao S. Jondhale College of Engineering & Technology, Shahapur, Asangaon, Dist Thane",Un-Aided,300
111,3218,"Aldel Education Trust's St. John College of Engineering & Management, Vevoor, Palghar","Un-Aided, Autonomous, Religious Minority - Christian",480
112,3219,"Koti Vidya Charitable Trust's Smt. Alamuri Ratnamala Institute of Engineering and Technology, Sapgaon, Tal. Shahapur","Un-Aided, Linguistic Minority - Hindi",420
113,3220,Yadavrao Tasgaonkar College of Engineering & Management,Un-Aided,294
114,3221,"Vishnu Waman Thakur Charitable Trust's VIVA Institute of Technology, Virar",Un-Aided,420
115,3222,"Haji Jamaluddin Thim Trust's Theem College of Engineering, At. Villege Betegaon, Boisar","Un-Aided, Religious Minority - Muslim",360
116,3223,"Mahatma Education Society's Pillai HOC College of Engineering & Technology, Tal. Khalapur. Dist. Raigad","Un-Aided, Autonomous, Linguistic Minority - Malyalam",600
117,3224,"Leela Education Society, G.V. Acharya Institute of Engineering and Technology, Shelu, Karjat",Un-Aided,270
118,3257,"Vidya Prasarak Mandal's College of Engineering, Thane",Un-Aided,300
119,3277,Pravin Rohidas Patil College of Engineering & Technology,Un-Aided,360
120,3351,"Bharat College of Engineering, Kanhor, Badlapur(W)",Un-Aided,360
121,3353,"Dilkap Research Institute Of Engineering and Management Studies, At.Mamdapur, Post- Neral, Tal- Karjat, Mumbai",Un-Aided,390
122,3423,"Shree L.R. Tiwari College of Engineering, Mira Road, Mumbai","Un-Aided, Autonomous, Linguistic Minority - Hindi",720
123,3436,"B.R. Harne College of Engineering & Technology, Karav, Tal-Ambernath.",Un-Aided,330
124,3439,"Anjuman-I-Islam's Kalsekar Technical Campus, Panvel","Un-Aided, Autonomous, Religious Minority - Muslim",510
125,3440,"Metropolitan Institute of Technology & Management, Sukhalwad, Sindhudurg.",Un-Aided,270
126,3445,"Vishwatmak Jangli Maharaj Ashram Trust (Kokamthan), Atma Malik Institute Of Technology & Research",Un-Aided,210
127,3447,"G.M.Vedak Institute of Technology, Tala, Raigad.",Un-Aided,120
128,3462,"VPM's Maharshi Parshuram College of Engineering, Velneshwar, Ratnagiri.",Un-Aided,180
129,3465,"Ideal Institute of Technology, Wada, Dist.Thane",Un-Aided,300
130,3467,"Vishwaniketan's Institute of Management Entrepreneurship and Engineering Technology(i MEET), Khalapur Dist Raigad",Un-Aided,420
131,3470,YASHWANTRAO BHONSALE INSTITUTE OF TECHNOLOGY,Un-Aided,300
132,3471,"New Horizon Institute of Technology & Management, Thane",Un-Aided,540
133,3475,"A. P. Shah Institute of Technology, Thane","Un-Aided, Religious Minority - Jain",720
134,3477,"Chhartrapati Shivaji Maharaj Institute of Technology, Shedung, Panvel",Un-Aided,300
135,3503,"Indala College Of Engineering, Bapsai Tal.Kalyan",Un-Aided,360
136,3546,Devi Mahalaxmi College of Engineering and Technology,Un-Aided,300
137,3723,"Navjeevan Education Society's College of Engineering, Bhandup(W), Mumbai",Un-Aided,360
138,3724,Thakur Shree DPS College of Engineering & Management,"Un-Aided, Linguistic Minority - Hindi",360
139,3725,"MAEER's Maharashtra Institute of Technology, Thane",Un-Aided,240
140,3726,Imperial College of Engineering,Un-Aided,240
141,4004,"Government College of Engineering, Chandrapur",Government,330
142,4025,"Government College of Engineering, Nagpur",Government,300
143,4104,"Kavi Kulguru Institute of Technology & Science, Ramtek","Un-Aided, Autonomous",540
144,4116,"Ankush Shikshan Sanstha's G.H.Raisoni College of Engineering, Nagpur","Un-Aided, Autonomous, Linguistic Minority - Hindi",1260
145,4118,"Bapurao Deshmukh College of Engineering, Sevagram",Un-Aided,273
146,4123,"Lokmanya Tilak Jankalyan Shikshan Sanstha, Priyadarshani College of Engineering, Nagpur","Un-Aided, Autonomous, Linguistic Minority - Hindi",1440
147,4133,"Sanmarg Shikshan Sanstha's Smt. Radhikatai Pandav College of Engineering, Nagpur",Un-Aided,360
148,4134,"Guru Nanak Institute of Engineering & Technology,Kalmeshwar, Nagpur",Un-Aided,360
149,4135,"Amar Seva Mandal's Shree Govindrao Vanjari College of Engineering & Technology, Nagpur",Un-Aided,570
150,4137,"Sir Shantilal Badjate Charitable Trust's S. B. Jain Institute of technology, Management & Research, Nagpur","Un-Aided, Autonomous, Linguistic Minority - Hindi",720
151,4138,"Jaidev Education Society, J D College of Engineering and Management, Nagpur","Un-Aided, Autonomous, Linguistic Minority - Hindi",990
152,4139,"Samridhi Sarwajanik Charitable Trust, Jhulelal Institute of Technology, Nagpur","Un-Aided, Autonomous, Linguistic Minority - Sindhi",720
153,4141,"Shriram Gram Vikas Shikshan Sanstha, Vilasrao Deshmukh College of Engineering and Technology, Nagpur",Un-Aided,240
154,4142,"G H Raisoni College of Engineering & Management, Nagpur","Un-Aided, Autonomous, Linguistic Minority - Hindi",780
155,4143,"Sanmarg Shikshan Sanstha, Mandukarrao Pandav College of Engineering, Bhandara",Un-Aided,360
156,4144,"Shri. Sai Shikshan Sanstha, Nagpur Institute of Technology, Nagpur",Un-Aided,360
157,4145,"Wainganga College of Engineering and Management, Dongargaon, Nagpur","Un-Aided, Autonomous",600
158,4147,"K.D.K. College of Engineering, Nagpur","Un-Aided, Autonomous",630
159,4151,"Tulsiramji Gaikwad Patil College of Engineering & Technology, Nagpur","Un-Aided, Autonomous",1320
160,4163,Rajiv Gandhi College of Engineering Research & Technology Chandrapur,Un-Aided,570
161,4167,"Yeshwantrao Chavan College of Engineering,Wanadongri, Nagpur","Un-Aided, Autonomous",1500
162,4172,"Anjuman College of Engineering & Technology, Nagpur","Un-Aided, Religious Minority - Muslim",420
163,4174,"ST. Vincent Pallotti College of Engineering & Technology, Nagpur","Un-Aided, Autonomous, Religious Minority - Christian",780
164,4175,"JMSS Shri Shankarprasad Agnihotri College of Engineering, Wardha",Un-Aided,300
165,4177,"Priyadarshini Bhagwati College of Engineering, Harpur Nagar, Umred Road,Nagpur","Un-Aided, Autonomous, Linguistic Minority - Hindi",720
166,4181,"Swaminarayan Siddhanta Institute Of Technology, Nagpur",Un-Aided,360
167,4188,"Krushi Jivan Vikas Pratishthan, Ballarpur Institute of Technology, Mouza Bamni",Un-Aided,450
168,4190,"M.D. Yergude Memorial Shikshan Prasarak Mandal's Shri Sai College of Engineering & Technology, Bhadrawati",Un-Aided,300
169,4192,"Maitraya Education Society, Nagarjuna Institute of Engineering Technology & Management, Nagpur",Un-Aided,360
170,4193,"K.D.M. Education Society, Vidharbha Institute of Technology,Umred Road ,Nagpur","Un-Aided, Autonomous, Linguistic Minority - Hindi",360
171,4196,"Gurunanak Educational Society's Gurunanak Institute of Technology, Nagpur",Un-Aided,360
172,4197,"Jai Mahakali Shikshan Sanstha, Agnihotri College of Engineering, Sindhi(Meghe)",Un-Aided,210
173,4302,"Gondia Education Society's Manoharbhai Patel Institute Of Engineering & Technology, Shahapur, Bhandara",Un-Aided,114
174,4304,"Cummins College of Engineering For Women, Sukhali (Gupchup), Tal. Hingna Hingna Nagpur",Un-Aided,240
175,4613,"Suryodaya College of Engineering & Technology, Nagpur","Un-Aided, Autonomous",420
176,4648,"R.V. Parankar College of Engineering & Technology, Arvi, Dist Wardha",Un-Aided,180
177,4649,"Bajaj Institute of Technology, Wardha","Un-Aided, Linguistic Minority - Hindi",300
178,4679,"Karanjekar College of Engineering & Management, Sakoli",Un-Aided,360
179,4703,"Somayya Institute of Technology, Chandrapur",Un-Aided,420
180,5003,"University Institute of Chemical Technology, North Maharashtra University, Jalgaon",University Department,120
181,5004,"Government College of Engineering, Jalgaon","Government, Autonomous",360
182,5103,"Shri Shivaji Vidya Prasarak Sanstha's Late Bapusaheb Shivaji Rao Deore College of Engineering,Dhule",Un-Aided,720
183,5104,"Shramsadhana Bombay Trust, College of Engineering & Technology, Jalgaon",Un-Aided,450
184,5106,"Khandesh College Education Society's College Of Engineering And Management, Jalgaon","Un-Aided, Autonomous",330
185,5108,"Maratha Vidya Prasarak Samaj's Karmaveer Adv. Baburao Ganpatrao Thakare College Of Engineering, Nashik","Un-Aided, Autonomous",1020
186,5109,"Sandip Foundation, Sandip Institute of Technology and Research Centre, Mahiravani, Nashik","Un-Aided, Autonomous",960
187,5121,"K. K. Wagh Institute of Engineering Education and Research, Nashik","Un-Aided, Autonomous",1080
188,5124,"Jagadamba Education Soc. Nashik's S.N.D. College of Engineering & Reserch, Babulgaon",Un-Aided,540
189,5125,"Pravara Rural Education Society's Sir Visvesvaraya Institute of Technology, Chincholi Dist. Nashik",Un-Aided,240
190,5130,"Brahma Valley College of Engineering & Research, Trimbakeshwar, Nashik",Un-Aided,300
191,5139,"Pravara Rural College of Engineering, Loni, Pravaranagar, Ahmednagar.",Un-Aided,720
192,5151,"MET Bhujbal Knowledge City MET League's Engineering College, Adgaon, Nashik.",Un-Aided,720
193,5152,"G H Raisoni College of Engineering and Management, Jalgaon","Un-Aided, Autonomous, Linguistic Minority - Hindi",780
194,5160,"Sanjivani Rural Education Society's Sanjivani College of Engineering, Kopargaon","Un-Aided, Autonomous",720
195,5161,"Dr. Vithalrao Vikhe Patil College of Engineering, Ahmednagar",Un-Aided,600
