Institute_Type,College_Code,College_Name,CAP_Seats,Choice_Code,Course_Name,SI,MS_Seats,Minority_Seats,All_India,Institute_Seats,Orphan,Row_Type,OPEN_G,OPEN_L,SC_G,SC_L,ST_G,ST_L,VJ/DT_G,VJ/DT_L,NTB_G,NTB_L,NTC_G,NTC_L,NTD_G,NTD_L,OBC_G,OBC_L,SEBC_G,SEBC_L,Total_G+L
Un-Aided,16351,"Vidya Niketan Institute of Engineering & Technology, Lakhewadi",48,1635124210,Computer Science and Engineering,60,39,0,9,12,0,HU,7,2,2,2,1,1,0,1,0,0,0,1,1,0,3,2,2,1,26
Un-Aided,16351,"Vidya Niketan Institute of Engineering & Technology, Lakhewadi",48,1635124210,Computer Science and Engineering,60,39,0,9,12,0,OHU,3,1,1,1,0,1,0,0,1,0,0,0,0,0,2,0,1,0,11
Un-Aided,16351,"Vidya Niketan Institute of Engineering & Technology, Lakhewadi",48,1635124210,Computer Science and Engineering,60,39,0,9,12,0,PWD,1,0,0,0,0,0,0,0,0,1,,,,,,,,,
Un-Aided,16351,"Vidya Niketan Institute of Engineering & Technology, Lakhewadi",48,1635124210,Computer Science and Engineering,60,39,0,9,12,0,DEF,1,0,0,0,0,0,0,0,0,1,,,,,,,,,
Un-Aided,16351,"Vidya Niketan Institute of Engineering & Technology, Lakhewadi",48,1635124210,Computer Science and Engineering,60,39,0,9,12,0,EWS,,,,,,,,,,,,,,,,,,,6
Un-Aided,16351,"Vidya Niketan Institute of Engineering & Technology, Lakhewadi",60,1635137210,Electronics and Telecommunication Engg,60,51,0,9,0,1,HU,9,4,3,1,2,1,0,0,1,1,1,0,0,1,4,1,2,1,32
Un-Aided,16351,"Vidya Niketan Institute of Engineering & Technology, Lakhewadi",60,1635137210,Electronics and Telecommunication Engg,60,51,0,9,0,1,OHU,3,2,2,0,1,0,1,0,0,0,1,0,0,0,1,1,1,1,14
Un-Aided,16351,"Vidya Niketan Institute of Engineering & Technology, Lakhewadi",60,1635137210,Electronics and Telecommunication Engg,60,51,0,9,0,1,PWD,1,0,0,0,0,0,0,1,0,2,,,,,,,,,
Un-Aided,16351,"Vidya Niketan Institute of Engineering & Technology, Lakhewadi",60,1635137210,Electronics and Telecommunication Engg,60,51,0,9,0,1,DEF,1,0,0,0,0,0,0,1,0,2,,,,,,,,,
Un-Aided,16351,"Vidya Niketan Institute of Engineering & Technology, Lakhewadi",60,1635137210,Electronics and Telecommunication Engg,60,51,0,9,0,1,EWS,,,,,,,,,,,,,,,,,,,6
Un-Aided,16351,"Vidya Niketan Institute of Engineering & Technology, Lakhewadi",48,1635192110,Artificial Intelligence and Machine Learning,60,39,0,9,12,0,HU,7,3,2,1,2,0,1,0,0,0,1,0,0,0,3,2,3,0,25
Un-Aided,16351,"Vidya Niketan Institute of Engineering & Technology, Lakhewadi",48,1635192110,Artificial Intelligence and Machine Learning,60,39,0,9,12,0,OHU,3,1,1,1,1,0,0,0,0,1,0,0,0,1,1,1,1,0,12
Un-Aided,16351,"Vidya Niketan Institute of Engineering & Technology, Lakhewadi",48,1635192110,Artificial Intelligence and Machine Learning,60,39,0,9,12,0,PWD,1,0,0,0,0,0,0,0,0,1,,,,,,,,,
Un-Aided,16351,"Vidya Niketan Institute of Engineering & Technology, Lakhewadi",48,1635192110,Artificial Intelligence and Machine Learning,60,39,0,9,12,0,DEF,1,0,0,0,0,0,0,0,0,1,,,,,,,,,
Un-Aided,16351,"Vidya Niketan Institute of Engineering & Technology, Lakhewadi",48,1635192110,Artificial Intelligence and Machine Learning,60,39,0,9,12,0,EWS,,,,,,,,,,,,,,,,,,,6
Un-Aided,16352,"Yashoda Mahadeo Kakade College of Engineering, Talegaon",96,1635224210,Computer Science and Engineering,120,78,0,18,24,1,HU,14,6,5,1,2,1,1,0,2,0,0,1,2,0,7,3,4,2,51
Un-Aided,16352,"Yashoda Mahadeo Kakade College of Engineering, Talegaon",96,1635224210,Computer Science and Engineering,120,78,0,18,24,1,OHU,5,2,1,1,1,1,0,1,0,0,0,1,0,0,2,1,1,1,18
Un-Aided,16352,"Yashoda Mahadeo Kakade College of Engineering, Talegaon",96,1635224210,Computer Science and Engineering,120,78,0,18,24,1,PWD,2,1,0,0,0,0,0,1,0,4,,,,,,,,,
Un-Aided,16352,"Yashoda Mahadeo Kakade College of Engineering, Talegaon",96,1635224210,Computer Science and Engineering,120,78,0,18,24,1,DEF,2,1,0,0,0,0,0,1,0,4,,,,,,,,,
Un-Aided,16352,"Yashoda Mahadeo Kakade College of Engineering, Talegaon",96,1635224210,Computer Science and Engineering,120,78,0,18,24,1,EWS,,,,,,,,,,,,,,,,,,,12
Un-Aided,16352,"Yashoda Mahadeo Kakade College of Engineering, Talegaon",54,1635224610,Information Technology,60,45,0,9,6,0,HU,8,4,3,2,2,1,0,1,0,1,2,0,0,1,4,1,1,1,32
Un-Aided,16352,"Yashoda Mahadeo Kakade College of Engineering, Talegaon",54,1635224610,Information Technology,60,45,0,9,6,0,OHU,3,1,1,0,0,0,0,0,1,0,0,0,0,0,3,0,2,0,11
Un-Aided,16352,"Yashoda Mahadeo Kakade College of Engineering, Talegaon",54,1635224610,Information Technology,60,45,0,9,6,0,PWD,1,0,0,0,0,0,0,0,0,1,,,,,,,,,
Un-Aided,16352,"Yashoda Mahadeo Kakade College of Engineering, Talegaon",54,1635224610,Information Technology,60,45,0,9,6,0,DEF,1,0,0,0,0,0,0,0,0,1,,,,,,,,,
Un-Aided,16352,"Yashoda Mahadeo Kakade College of Engineering, Talegaon",54,1635224610,Information Technology,60,45,0,9,6,0,EWS,,,,,,,,,,,,,,,,,,,6
Un-Aided,16352,"Yashoda Mahadeo Kakade College of Engineering, Talegaon",54,1635237210,Electronics and Telecommunication Engg,60,45,0,9,6,0,HU,8,3,3,1,1,1,1,0,1,0,0,0,0,0,5,2,3,1,30
Un-Aided,16352,"Yashoda Mahadeo Kakade College of Engineering, Talegaon",54,1635237210,Electronics and Telecommunication Engg,60,45,0,9,6,0,OHU,3,2,2,0,1,0,0,0,0,0,1,0,1,0,1,1,0,1,13
Un-Aided,16352,"Yashoda Mahadeo Kakade College of Engineering, Talegaon",54,1635237210,Electronics and Telecommunication Engg,60,45,0,9,6,0,PWD,1,0,0,0,0,0,0,0,0,1,,,,,,,,,
Un-Aided,16352,"Yashoda Mahadeo Kakade College of Engineering, Talegaon",54,1635237210,Electronics and Telecommunication Engg,60,45,0,9,6,0,DEF,1,0,0,0,0,0,0,0,0,1,,,,,,,,,
Un-Aided,16352,"Yashoda Mahadeo Kakade College of Engineering, Talegaon",54,1635237210,Electronics and Telecommunication Engg,60,45,0,9,6,0,EWS,,,,,,,,,,,,,,,,,,,6
Un-Aided,16352,"Yashoda Mahadeo Kakade College of Engineering, Talegaon",96,1635299510,Artificial Intelligence and Data Science,120,78,0,18,24,1,HU,13,6,4,2,3,1,1,1,1,0,2,1,1,0,6,3,3,2,50
Un-Aided,16352,"Yashoda Mahadeo Kakade College of Engineering, Talegaon",96,1635299510,Artificial Intelligence and Data Science,120,78,0,18,24,1,OHU,5,2,1,1,1,1,1,0,1,0,0,0,0,0,3,1,2,0,19
Un-Aided,16352,"Yashoda Mahadeo Kakade College of Engineering, Talegaon",96,1635299510,Artificial Intelligence and Data Science,120,78,0,18,24,1,PWD,2,1,0,0,0,0,0,1,0,4,,,,,,,,,
Un-Aided,16352,"Yashoda Mahadeo Kakade College of Engineering, Talegaon",96,1635299510,Artificial Intelligence and Data Science,120,78,0,18,24,1,DEF,2,1,0,0,0,0,0,1,0,4,,,,,,,,,
Un-Aided,16352,"Yashoda Mahadeo Kakade College of Engineering, Talegaon",96,1635299510,Artificial Intelligence and Data Science,120,78,0,18,24,1,EWS,,,,,,,,,,,,,,,,,,,12
Un-Aided,16354,DNYANVILAS COLLEGE OF ENGINEERING,96,1635424510,Computer Engineering,120,78,0,18,24,1,HU,14,6,5,2,2,1,1,0,1,1,1,0,1,0,7,3,4,1,50
Un-Aided,16354,DNYANVILAS COLLEGE OF ENGINEERING,96,1635424510,Computer Engineering,120,78,0,18,24,1,OHU,5,2,1,1,2,0,1,0,0,0,1,0,0,0,2,1,2,1,19
Un-Aided,16354,DNYANVILAS COLLEGE OF ENGINEERING,96,1635424510,Computer Engineering,120,78,0,18,24,1,PWD,2,1,0,0,0,0,0,1,0,4,,,,,,,,,
Un-Aided,16354,DNYANVILAS COLLEGE OF ENGINEERING,96,1635424510,Computer Engineering,120,78,0,18,24,1,DEF,2,1,0,0,0,0,0,1,0,4,,,,,,,,,
Un-Aided,16354,DNYANVILAS COLLEGE OF ENGINEERING,96,1635424510,Computer Engineering,120,78,0,18,24,1,EWS,,,,,,,,,,,,,,,,,,,12
Un-Aided,16354,DNYANVILAS COLLEGE OF ENGINEERING,60,1635424610,Information Technology,60,51,0,9,0,1,HU,9,4,3,1,2,1,2,0,0,0,0,1,0,0,3,2,3,1,32
Un-Aided,16354,DNYANVILAS COLLEGE OF ENGINEERING,60,1635424610,Information Technology,60,51,0,9,0,1,OHU,3,2,2,0,0,1,0,0,1,0,1,0,1,0,1,1,0,1,14
Un-Aided,16354,DNYANVILAS COLLEGE OF ENGINEERING,60,1635424610,Information Technology,60,51,0,9,0,1,PWD,1,0,0,0,0,0,0,1,0,2,,,,,,,,,
Un-Aided,16354,DNYANVILAS COLLEGE OF ENGINEERING,60,1635424610,Information Technology,60,51,0,9,0,1,DEF,1,0,0,0,0,0,0,1,0,2,,,,,,,,,
Un-Aided,16354,DNYANVILAS COLLEGE OF ENGINEERING,60,1635424610,Information Technology,60,51,0,9,0,1,EWS,,,,,,,,,,,,,,,,,,,6
Un-Aided,16354,DNYANVILAS COLLEGE OF ENGINEERING,60,1635437210,Electronics and Telecommunication Engg,60,51,0,9,0,1,HU,9,4,3,2,2,0,0,0,1,0,2,0,1,0,5,1,2,1,33
Un-Aided,16354,DNYANVILAS COLLEGE OF ENGINEERING,60,1635437210,Electronics and Telecommunication Engg,60,51,0,9,0,1,OHU,4,1,1,1,1,0,1,0,0,0,0,0,0,0,2,0,2,0,13
Un-Aided,16354,DNYANVILAS COLLEGE OF ENGINEERING,60,1635437210,Electronics and Telecommunication Engg,60,51,0,9,0,1,PWD,1,0,0,0,0,0,0,1,0,2,,,,,,,,,
Un-Aided,16354,DNYANVILAS COLLEGE OF ENGINEERING,60,1635437210,Electronics and Telecommunication Engg,60,51,0,9,0,1,DEF,1,0,0,0,0,0,0,1,0,2,,,,,,,,,
Un-Aided,16354,DNYANVILAS COLLEGE OF ENGINEERING,60,1635437210,Electronics and Telecommunication Engg,60,51,0,9,0,1,EWS,,,,,,,,,,,,,,,,,,,6
Un-Aided,16354,DNYANVILAS COLLEGE OF ENGINEERING,48,1635492110,Artificial Intelligence and Machine Learning,60,39,0,9,12,0,HU,7,3,2,1,1,1,1,1,1,0,0,0,0,1,3,2,1,1,26
Un-Aided,16354,DNYANVILAS COLLEGE OF ENGINEERING,48,1635492110,Artificial Intelligence and Machine Learning,60,39,0,9,12,0,OHU,3,1,2,0,1,0,0,0,0,0,0,1,0,0,1,1,1,0,11
Un-Aided,16354,DNYANVILAS COLLEGE OF ENGINEERING,48,1635492110,Artificial Intelligence and Machine Learning,60,39,0,9,12,0,PWD,1,0,0,0,0,0,0,0,0,1,,,,,,,,,
Un-Aided,16354,DNYANVILAS COLLEGE OF ENGINEERING,48,1635492110,Artificial Intelligence and Machine Learning,60,39,0,9,12,0,DEF,1,0,0,0,0,0,0,0,0,1,,,,,,,,,
Un-Aided,16354,DNYANVILAS COLLEGE OF ENGINEERING,48,1635492110,Artificial Intelligence and Machine Learning,60,39,0,9,12,0,EWS,,,,,,,,,,,,,,,,,,,6
Un-Aided,16357,MES MUKUNDDAS LOHIA COLLEGE OF ENGINEERING,48,1635724510,Computer Engineering,60,39,0,9,12,0,HU,7,3,3,1,2,0,0,0,1,0,1,0,1,0,4,1,3,0,27
Un-Aided,16357,MES MUKUNDDAS LOHIA COLLEGE OF ENGINEERING,48,1635724510,Computer Engineering,60,39,0,9,12,0,OHU,3,1,1,0,0,1,1,0,0,0,0,0,0,0,2,0,0,1,10
Un-Aided,16357,MES MUKUNDDAS LOHIA COLLEGE OF ENGINEERING,48,1635724510,Computer Engineering,60,39,0,9,12,0,PWD,1,0,0,0,0,0,0,0,0,1,,,,,,,,,
Un-Aided,16357,MES MUKUNDDAS LOHIA COLLEGE OF ENGINEERING,48,1635724510,Computer Engineering,60,39,0,9,12,0,DEF,1,0,0,0,0,0,0,0,0,1,,,,,,,,,
Un-Aided,16357,MES MUKUNDDAS LOHIA COLLEGE OF ENGINEERING,48,1635724510,Computer Engineering,60,39,0,9,12,0,EWS,,,,,,,,,,,,,,,,,,,6
Un-Aided,16357,MES MUKUNDDAS LOHIA COLLEGE OF ENGINEERING,48,1635724610,Information Technology,60,39,0,9,12,0,HU,7,3,2,1,1,1,2,0,0,0,0,0,1,0,3,2,2,1,26
Un-Aided,16357,MES MUKUNDDAS LOHIA COLLEGE OF ENGINEERING,48,1635724610,Information Technology,60,39,0,9,12,0,OHU,2,1,1,1,1,0,0,0,1,0,0,1,0,0,1,1,1,0,11
Un-Aided,16357,MES MUKUNDDAS LOHIA COLLEGE OF ENGINEERING,48,1635724610,Information Technology,60,39,0,9,12,0,PWD,1,0,0,0,0,0,0,0,0,1,,,,,,,,,
Un-Aided,16357,MES MUKUNDDAS LOHIA COLLEGE OF ENGINEERING,48,1635724610,Information Technology,60,39,0,9,12,0,DEF,1,0,0,0,0,0,0,0,0,1,,,,,,,,,
Un-Aided,16357,MES MUKUNDDAS LOHIA COLLEGE OF ENGINEERING,48,1635724610,Information Technology,60,39,0,9,12,0,EWS,,,,,,,,,,,,,,,,,,,6
Un-Aided,16357,MES MUKUNDDAS LOHIA COLLEGE OF ENGINEERING,48,1635737210,Electronics and Telecommunication Engg,60,39,0,9,12,0,HU,7,3,3,1,1,0,1,0,1,0,0,1,0,0,4,1,2,1,26
Un-Aided,16357,MES MUKUNDDAS LOHIA COLLEGE OF ENGINEERING,48,1635737210,Electronics and Telecommunication Engg,60,39,0,9,12,0,OHU,3,1,1,0,1,0,0,0,0,0,0,0,1,0,2,1,1,0,11
Un-Aided,16357,MES MUKUNDDAS LOHIA COLLEGE OF ENGINEERING,48,1635737210,Electronics and Telecommunication Engg,60,39,0,9,12,0,PWD,1,0,0,0,0,0,0,0,0,1,,,,,,,,,
Un-Aided,16357,MES MUKUNDDAS LOHIA COLLEGE OF ENGINEERING,48,1635737210,Electronics and Telecommunication Engg,60,39,0,9,12,0,DEF,1,0,0,0,0,0,0,0,0,1,,,,,,,,,
Un-Aided,16357,MES MUKUNDDAS LOHIA COLLEGE OF ENGINEERING,48,1635737210,Electronics and Telecommunication Engg,60,39,0,9,12,0,EWS,,,,,,,,,,,,,,,,,,,6
Un-Aided,16357,MES MUKUNDDAS LOHIA COLLEGE OF ENGINEERING,48,1635791110,Computer Science and Engineering(Artificial Intelligence and Machine Learning),60,39,0,9,12,0,HU,7,3,2,1,1,1,0,0,0,1,2,0,0,0,4,2,1,1,26
Un-Aided,16357,MES MUKUNDDAS LOHIA COLLEGE OF ENGINEERING,48,1635791110,Computer Science and Engineering(Artificial Intelligence and Machine Learning),60,39,0,9,12,0,OHU,2,1,1,1,0,1,0,1,0,0,0,0,0,0,2,0,1,1,11
Un-Aided,16357,MES MUKUNDDAS LOHIA COLLEGE OF ENGINEERING,48,1635791110,Computer Science and Engineering(Artificial Intelligence and Machine Learning),60,39,0,9,12,0,PWD,1,0,0,0,0,0,0,0,0,1,,,,,,,,,
Un-Aided,16357,MES MUKUNDDAS LOHIA COLLEGE OF ENGINEERING,48,1635791110,Computer Science and Engineering(Artificial Intelligence and Machine Learning),60,39,0,9,12,0,DEF,1,0,0,0,0,0,0,0,0,1,,,,,,,,,
Un-Aided,16357,MES MUKUNDDAS LOHIA COLLEGE OF ENGINEERING,48,1635791110,Computer Science and Engineering(Artificial Intelligence and Machine Learning),60,39,0,9,12,0,EWS,,,,,,,,,,,,,,,,,,,6
Government,04004,"Government College of Engineering, Chandrapur",60,0400419110,Civil Engineering,60,60,0,0,0,1,HU,11,5,4,1,2,1,1,0,0,1,0,1,1,0,4,3,2,1,38
Government,04004,"Government College of Engineering, Chandrapur",60,0400419110,Civil Engineering,60,60,0,0,0,1,OHU,4,2,1,1,1,1,0,0,1,0,1,0,1,0,1,1,1,1,17
Government,04004,"Government College of Engineering, Chandrapur",60,0400419110,Civil Engineering,60,60,0,0,0,1,PWD,1,0,0,0,0,0,0,1,0,2,,,,,,,,,
Government,04004,"Government College of Engineering, Chandrapur",60,0400419110,Civil Engineering,60,60,0,0,0,1,DEF,1,0,0,0,0,0,0,1,0,2,,,,,,,,,
Government,04004,"Government College of Engineering, Chandrapur",60,0400419110,Civil Engineering,60,60,0,0,0,1,EWS,,,,,,,,,,,,,,,,,,,6
Government,04004,"Government College of Engineering, Chandrapur",60,0400424210,Computer Science and Engineering,60,60,0,0,0,1,HU,11,5,4,2,2,1,1,0,1,0,2,0,1,0,5,2,3,1,41
Government,04004,"Government College of Engineering, Chandrapur",60,0400424210,Computer Science and Engineering,60,60,0,0,0,1,OHU,5,1,2,0,1,0,0,1,0,0,0,0,0,0,2,0,2,0,14
Government,04004,"Government College of Engineering, Chandrapur",60,0400424210,Computer Science and Engineering,60,60,0,0,0,1,PWD,1,0,0,0,0,0,0,1,0,2,,,,,,,,,
Government,04004,"Government College of Engineering, Chandrapur",60,0400424210,Computer Science and Engineering,60,60,0,0,0,1,DEF,1,0,0,0,0,0,0,1,0,2,,,,,,,,,
Government,04004,"Government College of Engineering, Chandrapur",60,0400424210,Computer Science and Engineering,60,60,0,0,0,1,EWS,,,,,,,,,,,,,,,,,,,6
Government,04004,"Government College of Engineering, Chandrapur",60,0400429310,Electrical Engineering,60,60,0,0,0,1,HU,10,5,4,1,2,1,1,1,1,0,1,0,1,0,5,1,3,2,39
Government,04004,"Government College of Engineering, Chandrapur",60,0400429310,Electrical Engineering,60,60,0,0,0,1,OHU,4,2,2,1,0,1,0,0,1,0,0,1,0,0,2,1,0,1,16
Government,04004,"Government College of Engineering, Chandrapur",60,0400429310,Electrical Engineering,60,60,0,0,0,1,PWD,1,0,0,0,0,0,0,1,0,2,,,,,,,,,
Government,04004,"Government College of Engineering, Chandrapur",60,0400429310,Electrical Engineering,60,60,0,0,0,1,DEF,1,0,0,0,0,0,0,1,0,2,,,,,,,,,
Government,04004,"Government College of Engineering, Chandrapur",60,0400429310,Electrical Engineering,60,60,0,0,0,1,EWS,,,,,,,,,,,,,,,,,,,6
Government,04004,"Government College of Engineering, Chandrapur",60,0400437210,Electronics and Telecommunication Engg,60,60,0,0,0,1,HU,12,4,3,2,2,1,1,0,0,1,1,1,0,0,5,3,3,1,40
Government,04004,"Government College of Engineering, Chandrapur",60,0400437210,Electronics and Telecommunication Engg,60,60,0,0,0,1,OHU,4,2,1,1,1,0,1,0,0,0,0,0,1,0,1,1,2,0,15
Government,04004,"Government College of Engineering, Chandrapur",60,0400437210,Electronics and Telecommunication Engg,60,60,0,0,0,1,PWD,1,0,0,0,0,0,0,1,0,2,,,,,,,,,
Government,04004,"Government College of Engineering, Chandrapur",60,0400437210,Electronics and Telecommunication Engg,60,60,0,0,0,1,DEF,1,0,0,0,0,0,0,1,0,2,,,,,,,,,
Government,04004,"Government College of Engineering, Chandrapur",60,0400437210,Electronics and Telecommunication Engg,60,60,0,0,0,1,EWS,,,,,,,,,,,,,,,,,,,6
Government,04004,"Government College of Engineering, Chandrapur",30,0400446610,Instrumentation Engineering,30,30,0,0,0,0,HU,5,2,2,1,1,0,1,0,1,0,0,0,0,1,2,1,2,0,19
Government,04004,"Government College of Engineering, Chandrapur",30,0400446610,Instrumentation Engineering,30,30,0,0,0,0,OHU,2,1,1,0,1,0,0,0,0,0,1,0,0,0,2,0,0,1,9
Government,04004,"Government College of Engineering, Chandrapur",30,0400446610,Instrumentation Engineering,30,30,0,0,0,0,PWD,1,0,0,0,0,0,0,0,0,1,,,,,,,,,
Government,04004,"Government College of Engineering, Chandrapur",30,0400446610,Instrumentation Engineering,30,30,0,0,0,0,DEF,1,0,0,0,0,0,0,0,0,1,,,,,,,,,
Government,04004,"Government College of Engineering, Chandrapur",30,0400446610,Instrumentation Engineering,30,30,0,0,0,0,EWS,,,,,,,,,,,,,,,,,,,3
Government,04004,"Government College of Engineering, Chandrapur",60,0400461210,Mechanical Engineering,60,60,0,0,0,1,HU,10,5,4,1,2,1,0,1,0,0,1,1,1,0,6,2,2,2,39
Government,04004,"Government College of Engineering, Chandrapur",60,0400461210,Mechanical Engineering,60,60,0,0,0,1,OHU,4,2,2,1,1,0,1,0,0,1,0,0,0,0,1,1,2,0,16
Government,04004,"Government College of Engineering, Chandrapur",60,0400461210,Mechanical Engineering,60,60,0,0,0,1,PWD,1,0,0,0,0,0,0,1,0,2,,,,,,,,,
Government,04004,"Government College of Engineering, Chandrapur",60,0400461210,Mechanical Engineering,60,60,0,0,0,1,DEF,1,0,0,0,0,0,0,1,0,2,,,,,,,,,
Government,04004,"Government College of Engineering, Chandrapur",60,0400461210,Mechanical Engineering,60,60,0,0,0,1,EWS,,,,,,,,,,,,,,,,,,,6
University Department,05003,"University Institute  of Chemical Technology, North Maharashtra University, Jalgaon",15,0500350310,Food Technology,15,15,0,0,0,0,HU,3,1,1,0,1,0,0,0,0,0,1,0,0,0,1,1,1,0,10
University Department,05003,"University Institute  of Chemical Technology, North Maharashtra University, Jalgaon",15,0500350310,Food Technology,15,15,0,0,0,0,OHU,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,5
University Department,05003,"University Institute  of Chemical Technology, North Maharashtra University, Jalgaon",15,0500350310,Food Technology,15,15,0,0,0,0,PWD,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
University Department,05003,"University Institute  of Chemical Technology, North Maharashtra University, Jalgaon",15,0500350310,Food Technology,15,15,0,0,0,0,DEF,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
University Department,05003,"University Institute  of Chemical Technology, North Maharashtra University, Jalgaon",15,0500350310,Food Technology,15,15,0,0,0,0,EWS,,,,,,,,,,,,,,,,,,,2
University Department,05003,"University Institute  of Chemical Technology, North Maharashtra University, Jalgaon",60,0500350710,Chemical Engineering,60,60,0,0,0,1,HU,11,5,4,2,2,1,1,1,1,0,0,1,1,0,5,2,3,1,41
University Department,05003,"University Institute  of Chemical Technology, North Maharashtra University, Jalgaon",60,0500350710,Chemical Engineering,60,60,0,0,0,1,OHU,4,2,1,1,1,0,0,0,1,0,0,1,0,0,1,1,1,0,14
University Department,05003,"University Institute  of Chemical Technology, North Maharashtra University, Jalgaon",60,0500350710,Chemical Engineering,60,60,0,0,0,1,PWD,1,0,0,0,0,0,0,1,0,2,,,,,,,,,
University Department,05003,"University Institute  of Chemical Technology, North Maharashtra University, Jalgaon",60,0500350710,Chemical Engineering,60,60,0,0,0,1,DEF,1,0,0,0,0,0,0,1,0,2,,,,,,,,,
University Department,05003,"University Institute  of Chemical Technology, North Maharashtra University, Jalgaon",60,0500350710,Chemical Engineering,60,60,0,0,0,1,EWS,,,,,,,,,,,,,,,,,,,6
University Department,05003,"University Institute  of Chemical Technology, North Maharashtra University, Jalgaon",15,0500350810,Plastic Technology,15,15,0,0,0,0,HU,3,1,1,0,1,0,0,0,0,0,0,0,0,0,2,0,0,1,9
University Department,05003,"University Institute  of Chemical Technology, North Maharashtra University, Jalgaon",15,0500350810,Plastic Technology,15,15,0,0,0,0,OHU,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,6
University Department,05003,"University Institute  of Chemical Technology, North Maharashtra University, Jalgaon",15,0500350810,Plastic Technology,15,15,0,0,0,0,PWD,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
University Department,05003,"University Institute  of Chemical Technology, North Maharashtra University, Jalgaon",15,0500350810,Plastic Technology,15,15,0,0,0,0,DEF,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
University Department,05003,"University Institute  of Chemical Technology, North Maharashtra University, Jalgaon",15,0500350810,Plastic Technology,15,15,0,0,0,0,EWS,,,,,,,,,,,,,,,,,,,2
University Department,05003,"University Institute  of Chemical Technology, North Maharashtra University, Jalgaon",15,0500351810,Oil Fats and Waxes Technology,15,15,0,0,0,0,HU,4,1,1,1,0,0,0,0,0,1,0,0,0,0,1,1,1,0,11
University Department,05003,"University Institute  of Chemical Technology, North Maharashtra University, Jalgaon",15,0500351810,Oil Fats and Waxes Technology,15,15,0,0,0,0,OHU,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,4
University Department,05003,"University Institute  of Chemical Technology, North Maharashtra University, Jalgaon",15,0500351810,Oil Fats and Waxes Technology,15,15,0,0,0,0,PWD,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
University Department,05003,"University Institute  of Chemical Technology, North Maharashtra University, Jalgaon",15,0500351810,Oil Fats and Waxes Technology,15,15,0,0,0,0,DEF,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
University Department,05003,"University Institute  of Chemical Technology, North Maharashtra University, Jalgaon",15,0500351810,Oil Fats and Waxes Technology,15,15,0,0,0,0,EWS,,,,,,,,,,,,,,,,,,,2
University Department,05003,"University Institute  of Chemical Technology, North Maharashtra University, Jalgaon",15,0500352310,Paints Technology,15,15,0,0,0,0,HU,3,1,1,0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,10
University Department,05003,"University Institute  of Chemical Technology, North Maharashtra University, Jalgaon",15,0500352310,Paints Technology,15,15,0,0,0,0,OHU,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,5
University Department,05003,"University Institute  of Chemical Technology, North Maharashtra University, Jalgaon",15,0500352310,Paints Technology,15,15,0,0,0,0,PWD,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
University Department,05003,"University Institute  of Chemical Technology, North Maharashtra University, Jalgaon",15,0500352310,Paints Technology,15,15,0,0,0,0,DEF,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
University Department,05003,"University Institute  of Chemical Technology, North Maharashtra University, Jalgaon",15,0500352310,Paints Technology,15,15,0,0,0,0,EWS,,,,,,,,,,,,,,,,,,,2
Un-Aided,05104,"Shramsadhana Bombay Trust, College of Engineering & Technology, Jalgaon",60,0510419110,Civil Engineering,60,51,0,9,0,1,HU,9,4,3,1,2,1,1,0,0,0,2,0,0,0,5,1,3,1,33
Un-Aided,05104,"Shramsadhana Bombay Trust, College of Engineering & Technology, Jalgaon",60,0510419110,Civil Engineering,60,51,0,9,0,1,OHU,4,1,2,0,1,0,0,0,0,1,0,0,1,0,2,0,1,0,13
Un-Aided,05104,"Shramsadhana Bombay Trust, College of Engineering & Technology, Jalgaon",60,0510419110,Civil Engineering,60,51,0,9,0,1,PWD,1,0,0,0,0,0,0,1,0,2,,,,,,,,,
Un-Aided,05104,"Shramsadhana Bombay Trust, College of Engineering & Technology, Jalgaon",60,0510419110,Civil Engineering,60,51,0,9,0,1,DEF,1,0,0,0,0,0,0,1,0,2,,,,,,,,,
Un-Aided,05104,"Shramsadhana Bombay Trust, College of Engineering & Technology, Jalgaon",60,0510419110,Civil Engineering,60,51,0,9,0,1,EWS,,,,,,,,,,,,,,,,,,,6
Un-Aided,05104,"Shramsadhana Bombay Trust, College of Engineering & Technology, Jalgaon",144,0510424510,Computer Engineering,180,117,0,27,36,1,HU,21,9,7,3,4,2,1,1,2,1,1,1,2,0,9,5,4,2,75
Un-Aided,05104,"Shramsadhana Bombay Trust, College of Engineering & Technology, Jalgaon",144,0510424510,Computer Engineering,180,117,0,27,36,1,OHU,8,4,3,1,1,1,1,0,0,0,2,0,0,1,4,2,2,1,31
