Sr No,College Name,Avg Package (LPA),Tier,College Code,Official Sites 
87,"Sinhgad Institute of Technology and Science, Narhe",3-4,Tier 3,6182,https://cms.sinhgad.edu/sinhgad_engineering_institutes/sits_narhetechnicalcampus/sits_nt_aboutus.aspx
88,"Ajeenkya DY Patil School of Engineering, Lohegaon",3-4,Tier 3,6732,https://adypsoe.in/
89,"Pd. Vasantdada Patil Institute of Technology, Bavdhan",3-4,Tier 3,6122,https://pvpittssm.edu.in/
90,"Marathwada Mitra Mandal's Institute of Technology, Lohgaon",3-4,Tier 3,6203,https://mmit.edu.in/
91,"Sant Gadge Baba Amravati University, Amravati",3-4,Tier 3,1005,https://sgbau.ac.in/
92,"Nutan Maharashtra Institute of Engineering & Technology, Pune",3-4,Tier 3,6310,https://www.nmiet.edu.in/
93,"Prof. Ram Meghe Institute of Technology & Research, Amravati",3-4,Tier 3,1105,https://mitra.ac.in/
94,"M.H. Saboo Siddik College of Engineering, Mumbai",3-4,Tier 3,3183,https://www.mhssce.ac.in/
95,"MET League's Engineering College, Nashik",3-4,Tier 3,5151,https://metbkcengg.ac.in/
96,"ST. Vincent Pallotti College of Engineering, Nagpur",3-4,Tier 3,4174,https://www.stvincentngp.edu.in/
97,"Annasaheb Chudaman Patil College of Engineering, Navi Mumbai",3-4,Tier 3,3146,https://acpce.ac.in/
98,"Finolex Academy of Management and Technology, Ratnagiri",3-4,Tier 3,3200,https://famt.ac.in/
99,"Sinhgad Academy of Engineering, Kondhwa, Pune",3-4,Tier 3,6187,https://cms.sinhgad.edu/sinhgad_engineering_institutes/saoe/about_us.aspx
100,"G H Raisoni College of Engineering & Management, Nagpur",3-4,Tier 3,4142,https://ghrcemn.raisoni.net/
101,"Shree L.R. Tiwari College of Engineering, Mira Road",3-4,Tier 3,3423,https://slrtce.in/
102,"Zeal College of Engineering & Research, Narhe",3-4,Tier 3,6298,https://zcoer.in/
103,"D.Y. Patil College of Engineering and Technology, Kolhapur",3-4,Tier 3,6250,https://coek.dypgroup.edu.in/
104,"Bhivarabai Sawant Institute of Technology & Research, Wagholi",3-4,Tier 3,6311,https://jspmbsiotr.edu.in/
105,"R. C. Patel Institute of Technology, Shirpur",3-4,Tier 3,5172,https://www.rcpit.ac.in/
106,"Vidya Prasarak Mandal's College of Engineering, Thane",3-4,Tier 3,3257,https://vpmcoethane.org/
107,"Cummins College of Engineering For Women, Nagpur",3-4,Tier 3,4304,https://cumminscollege.edu.in/
108,"Gondia Education Society's Manoharbhai Patel Institute Of Engineering & Technology, Shahapur, Bhandara",3-4,Tier 3,4302,https://mietbhandara.ac.in/
109,"Maratha Vidya Prasarak Samaj's Karmaveer Adv. Baburao Ganpatrao Thakare College Of Engineering, Nashik",3-4,Tier 3,5108,https://kbtcoe.org/
110,"MET Bhujbal Knowledge City MET League's Engineering College, Adgaon, Nashik.",3-4,Tier 3,5151,https://metbkcengg.ac.in/
111,"Rasiklal M. Dhariwal Sinhgad Technical Institutes Campus, Pune",2–3,Tier 4,6769,http://rmdstic.sinhgad.edu/
112,"M.G.M.'s College of Engineering and Technology, Navi Mumbai",2–3,Tier 4,3175,https://www.mgmmumbai.ac.in/mgmcet/home
113,"University Institute of Chemical Technology, Jalgaon",2–3,Tier 4,5003,https://nmu.ac.in/chemical_technology
114,"Government College of Engineering, Yavatmal",2–3,Tier 4,1012,https://gcoey.ac.in/
115,"Dhole Patil College of Engineering, Wagholi",2–3,Tier 4,6307,https://dpcoepune.edu.in/
116,"K.C. College of Engineering, Kopri, Thane",2–3,Tier 4,3210,https://www.kccemsr.edu.in/
117,"Deogiri Institute of Engineering and Management Studies, Aurangabad",2–3,Tier 4,2114,https://www.dietms.org/
