MHTCET Colleges 

COEP Technological University
Sanghavi College of Engineering, Varvandi, Nashik
Anjuman College of Engineering & Technology, Nagpur
Matoshri Pratishan's Group of Institutions, Nanded
Gurunanak Institute of Technology, Nagpur
Shri. Jaykumar Rawal Institute of Technology, Dondaicha
Nagpur Institute of Technology, Nagpur
Institute of Technology, Management & Research, Nashik
Smt. Radhikatai Pandav College of Engineering, Nagpur
Atma Malik Institute of Technology & Research
Adarsh Institute of Technology and Research Centre, Vita, Sangli
Karmayogi Institute of Technology
Dr. Bapuji Salunkhe Institute of Engineering & Technology, Kolhapur
Suman Ramesh Tulsiani Technical Campus, Kamshet
Ashokrao Mane Group of Institutions
Mahatma Basaweshwar Education Society's College of Engineering, Ambejogai
Rajarshi Shahu College of Engineering, Buldhana
Nanasaheb Mahadik College of Engineering, Walwa, Sangli
Shree Santkrupa Institute of Engineering & Technology, Karad
J.T. Mahajan College of Engineering, Faizpur
Shankarrao Mohite Patil Institute of Technology, Akluj
Fabtech Technical Campus College of Engineering, Sangola
Vidharbha Institute of Technology, Nagpur
Dattakala Group of Institutions, Daund, Pune
Siddhivinayak Technical Campus, Nile
P.G. College of Engineering & Technology, Nandurbar
New Institute of Technology, Kolhapur
Matoshri Asarabai Polytechnic, Nashik
Matoshri Institute of Technology, Dhanore, Nashik
Sanjeevan Group of Institutions
Ballarpur Institute of Technology, Bhandara
Hi-Tech Institute of Technology, Aurangabad
International Centre of Excellence in Engineering (ICEEM)
Shree Govindrao Vanjari College of Engineering, Nagpur
Gramin Technical and Management Campus, Nanded
G.M. Vedak Institute of Technology, Tala, Raigad
Dr. A. D. Shinde College of Engineering, Kolhapur
Shri Sant Gadgebaba College of Engineering, Bhusawal
Vidya Vikas Pratishthan Institute of Engineering, Solapur
Aditya Engineering College, Beed
Gangamai College of Engineering, Dhule
Sanmati Engineering College, Washim
Bapurao Deshmukh College of Engineering, Sevagram
Bramhadevdada Mane Institute of Technology, Solapur
Metropolitan Institute of Technology & Management, Sindhudurg
Adsul's Technical Campus, Ahmednagar
Pankaj Laddhad Institute of Technology & Management Studies, Buldhana
Karanjekar College of Engineering & Management, Sakoli
Sanjay Bhokare Group of Institutes, Miraj
Sandipani Technical Campus, Latur
Shri Shankarprasad Agnihotri College of Engineering, Wardha
Dr. V.K. Patil College of Engineering & Technology
Arvind Gavali College of Engineering, Satara
Vidya Niketan College of Engineering, Sangamner
Nagarjuna Institute of Engineering Technology & Management, Nagpur
